[00:15:02] [Render thread/INFO]: Setting user: husker41
[00:15:02] [Render thread/INFO]: Backend library: LWJGL version 3.2.2 build 10
[00:15:09] [Render thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at aah.a(SourceFile:89) ~[1.16.1.jar:?]
	at dlx.<init>(SourceFile:452) [1.16.1.jar:?]
	at net.minecraft.client.main.Main.main(SourceFile:177) [1.16.1.jar:?]
[00:15:11] [Render thread/INFO]: Narrator library for x64 successfully loaded
[00:15:11] [Render thread/INFO]: Reloading ResourceManager: Default
[00:15:14] [Render thread/INFO]: Stopping!
[00:15:14] [Worker-Main-12/WARN]: Unable to load model: 'minecraft:block/enchanting_table' referenced from: minecraft:enchanting_table#: java.io.FileNotFoundException: minecraft:models/block/enchanting_table.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/brewing_stand.json: java.io.FileNotFoundException: minecraft:blockstates/brewing_stand.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=true,has_bottle_1=true,has_bottle_2=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=false,has_bottle_1=true,has_bottle_2=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=false,has_bottle_1=false,has_bottle_2=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=false,has_bottle_1=false,has_bottle_2=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=true,has_bottle_1=false,has_bottle_2=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=false,has_bottle_1=true,has_bottle_2=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=true,has_bottle_1=true,has_bottle_2=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/brewing_stand.json' missing model for variant: 'minecraft:brewing_stand#has_bottle_0=true,has_bottle_1=false,has_bottle_2=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/cauldron.json: java.io.FileNotFoundException: minecraft:blockstates/cauldron.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cauldron.json' missing model for variant: 'minecraft:cauldron#level=1'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cauldron.json' missing model for variant: 'minecraft:cauldron#level=0'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cauldron.json' missing model for variant: 'minecraft:cauldron#level=3'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cauldron.json' missing model for variant: 'minecraft:cauldron#level=2'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/end_portal.json: java.io.FileNotFoundException: minecraft:blockstates/end_portal.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal.json' missing model for variant: 'minecraft:end_portal#'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/end_portal_frame.json: java.io.FileNotFoundException: minecraft:blockstates/end_portal_frame.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=false,facing=north'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=false,facing=south'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=false,facing=west'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=true,facing=west'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=true,facing=north'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=true,facing=south'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=false,facing=east'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_portal_frame.json' missing model for variant: 'minecraft:end_portal_frame#eye=true,facing=east'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/end_stone.json: java.io.FileNotFoundException: minecraft:blockstates/end_stone.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/end_stone.json' missing model for variant: 'minecraft:end_stone#'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/dragon_egg.json: java.io.FileNotFoundException: minecraft:blockstates/dragon_egg.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/dragon_egg.json' missing model for variant: 'minecraft:dragon_egg#'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/redstone_lamp.json: java.io.FileNotFoundException: minecraft:blockstates/redstone_lamp.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/redstone_lamp.json' missing model for variant: 'minecraft:redstone_lamp#lit=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/redstone_lamp.json' missing model for variant: 'minecraft:redstone_lamp#lit=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/cocoa.json: java.io.FileNotFoundException: minecraft:blockstates/cocoa.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=2,facing=south'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=0,facing=south'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=1,facing=west'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=0,facing=north'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=2,facing=east'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=0,facing=west'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=0,facing=east'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=1,facing=north'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=1,facing=east'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=2,facing=north'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=1,facing=south'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/cocoa.json' missing model for variant: 'minecraft:cocoa#age=2,facing=west'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/sandstone_stairs.json: java.io.FileNotFoundException: minecraft:blockstates/sandstone_stairs.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=inner_right,waterlogged=true'
